X,M,max_omega,min_K_sqrtX,min_K_X055,min_K_X06
1024,-4,4,4,4,4
2048,7,4,4,4,4
4096,-19,5,5,5,4
8192,22,5,5,5,5
16384,-32,5,5,5,5
32768,26,6,5,5,5
65536,14,6,6,6,5
131072,-20,6,6,6,6
262144,24,6,6,6,6
524288,-125,7,6,6,6
1048576,257,7,7,6,6
2097152,-362,7,7,7,7
4194304,228,7,7,7,7
8388608,-10,7,7,7,7
16777216,211,8,7,7,7
