n,class,factorization,omega,Omega,tau,smallest_prime_factor,largest_prime_factor,nontrivial_factor_pair_count,formation_word_count,unordered_tree_count,min_tree_depth,max_tree_depth
38,composite,2*19,2,2,4,2,19,1,2,1,1,1
39,composite,3*13,2,2,4,3,13,1,2,1,1,1
40,composite,2^3*5,2,4,8,2,5,3,4,4,2,3
41,prime,41,1,1,2,41,41,0,0,0,0,0
42,composite,2*3*7,3,3,8,2,7,3,6,3,2,2
43,prime,43,1,1,2,43,43,0,0,0,0,0
44,composite,2^2*11,2,3,6,2,11,2,3,2,2,2
45,composite,3^2*5,2,3,6,3,5,2,3,2,2,2
46,composite,2*23,2,2,4,2,23,1,2,1,1,1
47,prime,47,1,1,2,47,47,0,0,0,0,0
48,composite,2^4*3,2,5,10,2,3,4,5,9,3,4
49,composite,7^2,1,2,3,7,7,1,1,1,1,1
50,composite,2*5^2,2,3,6,2,5,2,3,2,2,2
51,composite,3*17,2,2,4,3,17,1,2,1,1,1
52,composite,2^2*13,2,3,6,2,13,2,3,2,2,2
53,prime,53,1,1,2,53,53,0,0,0,0,0
54,composite,2*3^3,2,4,8,2,3,3,4,4,2,3
55,composite,5*11,2,2,4,5,11,1,2,1,1,1
56,composite,2^3*7,2,4,8,2,7,3,4,4,2,3
57,composite,3*19,2,2,4,3,19,1,2,1,1,1
58,composite,2*29,2,2,4,2,29,1,2,1,1,1
59,prime,59,1,1,2,59,59,0,0,0,0,0
60,composite,2^2*3*5,3,4,12,2,5,5,12,9,2,3
61,prime,61,1,1,2,61,61,0,0,0,0,0
62,composite,2*31,2,2,4,2,31,1,2,1,1,1
63,composite,3^2*7,2,3,6,3,7,2,3,2,2,2
64,composite,2^6,1,6,7,2,2,3,1,6,3,5
65,composite,5*13,2,2,4,5,13,1,2,1,1,1
66,composite,2*3*11,3,3,8,2,11,3,6,3,2,2
67,prime,67,1,1,2,67,67,0,0,0,0,0
68,composite,2^2*17,2,3,6,2,17,2,3,2,2,2
69,composite,3*23,2,2,4,3,23,1,2,1,1,1
70,composite,2*5*7,3,3,8,2,7,3,6,3,2,2
71,prime,71,1,1,2,71,71,0,0,0,0,0
72,composite,2^3*3^2,2,5,12,2,3,5,10,15,3,4
73,prime,73,1,1,2,73,73,0,0,0,0,0
74,composite,2*37,2,2,4,2,37,1,2,1,1,1
75,composite,3*5^2,2,3,6,3,5,2,3,2,2,2
76,composite,2^2*19,2,3,6,2,19,2,3,2,2,2
77,composite,7*11,2,2,4,7,11,1,2,1,1,1
78,composite,2*3*13,3,3,8,2,13,3,6,3,2,2
79,prime,79,1,1,2,79,79,0,0,0,0,0
80,composite,2^4*5,2,5,10,2,5,4,5,9,3,4
81,composite,3^4,1,4,5,3,3,2,1,2,2,3
82,composite,2*41,2,2,4,2,41,1,2,1,1,1
83,prime,83,1,1,2,83,83,0,0,0,0,0
84,composite,2^2*3*7,3,4,12,2,7,5,12,9,2,3
85,composite,5*17,2,2,4,5,17,1,2,1,1,1
86,composite,2*43,2,2,4,2,43,1,2,1,1,1
87,composite,3*29,2,2,4,3,29,1,2,1,1,1
88,composite,2^3*11,2,4,8,2,11,3,4,4,2,3
89,prime,89,1,1,2,89,89,0,0,0,0,0
90,composite,2*3^2*5,3,4,12,2,5,5,12,9,2,3
91,composite,7*13,2,2,4,7,13,1,2,1,1,1
92,composite,2^2*23,2,3,6,2,23,2,3,2,2,2
93,composite,3*31,2,2,4,3,31,1,2,1,1,1
94,composite,2*47,2,2,4,2,47,1,2,1,1,1
95,composite,5*19,2,2,4,5,19,1,2,1,1,1
96,composite,2^5*3,2,6,12,2,3,5,6,20,3,5
97,prime,97,1,1,2,97,97,0,0,0,0,0
98,composite,2*7^2,2,3,6,2,7,2,3,2,2,2
99,composite,3^2*11,2,3,6,3,11,2,3,2,2,2
100,composite,2^2*5^2,2,4,9,2,5,4,6,6,2,3
