X,M,max_omega,betti_sum,twoX_over_pi2,euler_from_betti,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7
131072,-20,6,26558,26560.7403647,-20,5709,11547,7480,1722,100,0,0,0
262144,24,6,53114,53121.4807295,24,10749,22559,15503,4009,293,1,0,0
524288,-125,7,106251,106242.961459,-125,20390,43981,31946,9074,852,8,0,0
1048576,257,7,212485,212485.922918,257,38635,86018,65264,20310,2215,43,0,0
2097152,-362,7,424972,424971.845836,-362,73586,167729,133380,44415,5701,161,0,0
4194304,228,7,849944,849943.691672,228,140336,327856,270567,96677,13955,553,0,0
8388608,-10,7,1699872,1699887.38334,-10,268216,640521,548270,207721,33449,1689,6,0
16777216,211,8,3399779,3399774.76669,211,513708,1252181,1107615,442966,78422,4848,39,0
