radius,prime_centers,wheel_composite_centers,prime_mean_neighbor_omega,composite_mean_neighbor_omega,delta_omega_prime_minus_composite,prime_mean_neighbor_Omega,composite_mean_neighbor_Omega,delta_Omega_prime_minus_composite,prime_mean_neighbor_prime_count,composite_mean_neighbor_prime_count,delta_neighbor_primes
3,9337,16797,2.886330370212,2.837461054553,0.048869315658,3.842258398486,3.786152289099,0.056106109387,0.252972046696,0.276358873608,-0.023386826912
5,9337,16797,2.844960908215,2.795868309817,0.049092598397,3.756549212809,3.698202059892,0.058347152918,0.502088465246,0.555099124844,-0.053010659598
10,9337,16797,2.703041662204,2.672551646127,0.030490016077,3.485980507658,3.452047984759,0.033932522899,1.598800471243,1.751979520152,-0.153179048909
20,9337,16797,2.691919246010,2.677476632732,0.014442613278,3.474443075934,3.457118830744,0.017324245191,3.509478419192,3.746561886051,-0.237083466859
50,9337,16797,2.672774981257,2.674981841996,-0.002206860738,3.448926850166,3.450386973801,-0.001460123699,9.204241190961,9.474906233256,-0.270665042295
