X,M,sum_mu_omega,scaled_derivative,observed_delta_to_absH_eq_sqrtX,linear_delta_using_actual_derivative,observed_over_linear,asymptotic_log2_over_sqrt,observed_over_asymptotic
1024,-4,52,2.4398004613,0.446350070393,0.610557994861,0.731052699579,1.50141566849,0.297286141179
2048,7,111,3.15086153805,0.351023862925,0.402794394705,0.871471568472,1.28461005269,0.273253243028
4096,-19,83,1.40194688046,0.4188628247,0.736321040511,0.568858964575,1.08101928132,0.387470262501
8192,22,264,2.61668599475,0.281344864004,0.332557637389,0.846003316036,0.897103714483,0.313614646179
16384,-32,229,1.31620197001,0.344959516154,0.541202913007,0.637394049189,0.735693677562,0.468890146368
32768,26,593,1.95631235907,0.247820103416,0.30209511207,0.820338011159,0.597184425322,0.414980855006
65536,14,861,1.61589861322,0.236092763757,0.296883740824,0.795236421845,0.480453013918,0.491396155124
131072,-20,1334,1.41317084231,0.221304632705,0.270978877573,0.816685915477,0.383525108707,0.577027755631
262144,24,2458,1.45961355843,0.179948725255,0.208070459996,0.864845135914,0.30403667287,0.591865196906
524288,-125,3815,1.26206798089,0.17151256382,0.186947874524,0.91743521694,0.239537308379,0.716016076914
1048576,257,8154,1.49445109386,0.111073826487,0.121563036508,0.913713820238,0.187676958562,0.591835179654
2097152,-362,11718,1.18389475438,0.119517049247,0.1196603287,0.99880261525,0.146310184204,0.816874436304
4194304,228,24153,1.33908288867,0.0807062350324,0.0842656822749,0.957759230728,0.11354455993,0.710789095332
8388608,-10,41746,1.26482826633,0.0680891642837,0.0693789132453,0.981410072581,0.0877529336098,0.775918952025
16777216,211,76387,1.26000701663,0.0526227226159,0.0535504954687,0.982674803571,0.0675637050822,0.778860818125
