X,even_squarefree_vertices,odd_squarefree_vertices,cover_edges,maximum_matching_size,total_unmatched,M,abs_M,unmatched_over_X
100,31,30,75,20,21,1,1,0.210000000000
500,150,156,489,112,82,-6,6,0.164000000000
1000,305,303,1045,221,166,2,2,0.166000000000
5000,1522,1520,5957,1099,844,2,2,0.168800000000
10000,3030,3053,12436,2198,1687,-23,23,0.168700000000
20000,6093,6067,25843,4422,3316,26,26,0.165800000000
50000,15212,15189,67562,11040,8321,23,23,0.166420000000
