k,X,M_actual,M_null_mean,M_null_sd,M_z,max_disp_over_sqrtp_max,S05_mean,S055_mean,S06_mean
14,16384,-32,-29.25,3.446966629860002,-0.7978029076863128,0.6553855364152325,0.05197692712052445,0.03689743374511675,0.026336273153905226
15,32768,26,28.4,5.245549492063173,-0.45753071315623667,0.6553855364152325,0.056681058341735105,0.03974646534108241,0.028061942749243902
16,65536,14,13.95,5.236260216283333,0.009548799703367382,0.6553855364152325,0.06063603500980234,0.04206086587175552,0.029416435267126628
17,131072,-20,-29.2,7.082966966789523,1.2988907110730263,0.6553855364152325,0.06400018551920351,0.04396198723731094,0.030490888977042125
18,262144,24,8.6,11.231534553259081,1.3711394402051094,0.6553855364152325,0.06675121540198195,0.04546326211614369,0.03131023631421563
19,524288,-125,-125.95,17.866390086887783,0.053172464912047995,0.6553855364152325,0.06907468191187065,0.04668867238928294,0.03195658909028985
20,1048576,257,257.95,21.278788548816944,-0.044645398765091195,0.6553855364152325,0.07109046914338474,0.047715386276441236,0.0324795834713392
