Q,normalized_spectral_correlation,phase_offset_rad,removed_energy_fraction_sqrt,removed_energy_fraction
5,0.999405867043,-0.00186860073728,0.376264209021,0.141574754991
17,0.999359172337,-0.00339958311254,0.510068326693,0.260169697895
47,0.999427742707,-0.0050221397072,0.603791137357,0.364563737551
