z,pi_z,sum_inverse_pminus1,product_p_over_pminus1,min_variance,min_sd,one_over_sqrt_log_z
100,25,2.574145023415739,8.31135737891573,0.13677350841633998,0.36982902592460204,0.46599060178465607
1000,168,2.9711097390767387,12.350975673851663,0.08809815373876805,0.2968133314707546,0.3804797331016252
10000,1229,3.2562068000704585,16.42448963219019,0.06483196681678507,0.2546212222435221,0.3295051144911304
100000,9592,3.478428045843889,20.511592825191045,0.05125158201891745,0.22638812252173798,0.29471833397440744
1000000,78498,3.6604847008417414,24.607382947629866,0.04235962970645156,0.205814551736391,0.2690397993802069
