floor_u,nodes,mean_R,median_R,mean_abs_R,max_abs_R,mean_children
1,2798,-63.812008577555396,-24.0,63.812008577555396,1222,64.8120085775554
2,212,-442.5141509433962,-280.0,442.5141509433962,1978,511.0
3,41,-749.170731707317,-598.0,749.170731707317,2076,1646.7317073170732
4,10,-752.3,-661.0,752.3,1523,3726.0
5,4,-565.5,-546.5,565.5,701,4624.25
6,3,-504.6666666666667,-319.0,504.6666666666667,889,8159.333333333333
7,2,-453.0,-453.0,453.0,504,14393.5
10,1,-119.0,-119.0,119.0,119,15895.0
11,1,-264.0,-264.0,264.0,264,29937.0
19,1,-122.0,-122.0,122.0,122,43389.0
