X,max_omega,M,sqrt_X,first_K_all_feasible_within_sqrt,first_K_interval_width_le_2sqrt
1024,4,-4,32,4,4
2048,4,7,45.2548339959,4,4
4096,5,-19,64,5,5
8192,5,22,90.5096679919,5,5
16384,5,-32,128,5,5
32768,6,26,181.019335984,6,6
65536,6,14,256,6,6
131072,6,-20,362.038671968,6,6
262144,6,24,512,6,6
524288,7,-125,724.077343935,6,6
1048576,7,257,1024,7,6
2097152,7,-362,1448.15468787,7,7
4194304,7,228,2048,7,7
8388608,7,-10,2896.30937574,7,7
16777216,8,211,4096,8,8
