sigma,observable,t_min,min_coherence,median_coherence,q10_coherence
0.20,Lambda,49.8,0.00737612168662,0.0296144503672,0.0181370569856
0.35,Lambda,49.8,0.00309310313981,0.0242402641779,0.0143367764641
0.50,Lambda,32.8,0.00247828012867,0.0199584966173,0.010811492471
0.65,Lambda,41.8,0.00268171496161,0.0176052296083,0.00702749487698
0.80,Lambda,19,0.00224665844745,0.0240131398773,0.011063817211
0.20,Omega,50,0.0166182593705,0.0301788693023,0.0181922184242
0.35,Omega,45.8,0.0135878244906,0.0244516281824,0.0149073375224
0.50,Omega,45.8,0.00807932103461,0.0193405372665,0.0121528574028
0.65,Omega,46.4,0.00219624391204,0.0154296932891,0.00860894911947
0.80,Omega,37.2,0.000920552296792,0.0133707563206,0.0056792722019
0.20,omega,50,0.016754687797,0.0303381876977,0.0184002373903
0.35,omega,49.8,0.013860376911,0.0252130310082,0.0150575937824
0.50,omega,46.4,0.0093874588242,0.0197364980443,0.0118685735619
0.65,omega,47,0.00266328505531,0.0158071980879,0.00855993330593
0.80,omega,49.8,0.0014163971884,0.0138896869636,0.00567774424077
0.20,omega_gt17,50,0.0175983659149,0.0317630461782,0.019181293722
0.35,omega_gt17,49.8,0.0146643534485,0.0266559270006,0.0160431837526
0.50,omega_gt17,46.6,0.0115974616022,0.0217524868872,0.0129653090558
0.65,omega_gt17,46.6,0.00779828941657,0.0170313934868,0.00967237306483
0.80,omega_gt17,27.6,0.00203656252973,0.0130319246471,0.00593365680897
0.20,omega_gt47,50,0.0179610553329,0.0325840637928,0.019777085321
0.35,omega_gt47,49.8,0.0150207293307,0.0273899249182,0.0166493078693
0.50,omega_gt47,46.4,0.0110003812016,0.022155201831,0.0135690267323
0.65,omega_gt47,46.4,0.00616389277119,0.0173557418242,0.0103824195768
0.80,omega_gt47,47.4,0.00266689937705,0.0134883121671,0.00725145027868
0.20,omega_gt5,50,0.0171939732099,0.0310893790714,0.0188586447737
0.35,omega_gt5,49,0.0142749694403,0.0259378332875,0.0153625904411
0.50,omega_gt5,49,0.0109110880535,0.0205690815814,0.0121908282152
0.65,omega_gt5,44.6,0.00537470817805,0.0163156277401,0.0092361746941
0.80,omega_gt5,43.2,0.0013964979628,0.0126297568781,0.00517338078742
0.20,one,49.8,0.0159415692105,0.0290933210166,0.0175749737049
0.35,one,49.8,0.0126067119077,0.0236163743141,0.0141342967714
0.50,one,47,0.0078137136426,0.0180650849526,0.0110689491813
0.65,one,49.8,0.00190954765534,0.0146434821298,0.00816963801954
0.80,one,31.8,0.00218935333179,0.0211351590033,0.00841065153835
0.20,prime,49.8,0.00353051309008,0.0259443196812,0.0145771273045
0.35,prime,41.2,0.00137997998223,0.0226103167278,0.010962136632
0.50,prime,15,0.00144070250858,0.0239056215653,0.00877947050628
0.65,prime,42.4,0.00252320106294,0.0466624103962,0.0206398058378
0.80,prime,8.6,0.000985667321713,0.105660124563,0.0437274461406
