X,M,Q_squarefree,even_layers,odd_layers,A0,A1,A2,A3,A4,A5,A6,A7,A8
1024,-4,624,310,314,1,172,299,139,13,0,0,0,0
2048,7,1245,626,619,1,309,646,267,22,0,0,0,0
4096,-5,2491,1243,1248,1,564,1343,535,48,0,0,0,0
8192,-21,4979,2479,2500,1,1028,2808,1026,116,0,0,0,0
16384,-32,9958,4963,4995,1,1899,5872,1993,193,0,0,0,0
32768,26,19920,9973,9947,1,3512,12009,10204,5876,414,8,0,0
65536,14,39844,19929,19915,1,6542,24535,21806,12274,845,7,0,0
131072,-20,79688,39834,39854,1,12251,50353,46451,28605,2011,36,0,0
262144,24,159360,79692,79668,1,23000,103195,98075,56865,3586,137,0,0
524288,-125,318725,159300,159425,1,43390,211518,206173,119075,8503,437,1,0
1048576,257,637461,318859,318602,1,82025,219587,217079,97938,19489,1333,9,0
2097152,-362,1274918,637278,637640,1,155611,425951,436477,207617,45500,3709,52,0
4194304,228,2549834,1275031,1274803,1,295947,827393,874773,437674,103870,9963,213,0
8388608,-10,5099650,2549820,2549830,1,564163,1608250,1750899,915962,233996,25607,772,0
16777216,211,10199301,5099756,5099545,1,1077871,3128647,3499035,1907198,520139,63904,2500,6
