X,H0,H1,H2,H3,H4,H5,H6,H7,H8
1024,-4,-52,-74,468,384,0,0,0,0
2048,7,-111,-110,660,1200,0,0,0,0
4096,-19,-83,-442,1266,2616,480,0,0,0
8192,22,-264,-544,1440,6216,1920,0,0,0
16384,-32,-229,-1422,2388,12432,6840,0,0,0
32768,26,-593,-2016,2106,25392,19920,720,0,0
65536,14,-861,-3988,2682,46368,54720,5040,0,0
131072,-20,-1334,-7320,2010,84864,132960,25920,0,0
262144,24,-2458,-12486,-2646,155160,302040,98640,0,0
524288,-125,-3815,-23364,-9714,269208,671160,310320,5040,0
1048576,257,-8154,-38212,-36768,484152,1401600,914400,45360,0
2097152,-362,-11718,-76470,-68106,814368,2920560,2408400,262080,0
4194304,228,-24153,-129220,-174168,1447536,5827800,6099840,1073520,0
8388608,-10,-41746,-241484,-348654,2473608,11587920,14546160,3890880,0
16777216,211,-76387,-440864,-715698,4271592,22665480,33531840,12358080,241920
