X,M,D0_A0_minus_A1,D1_A2_minus_A3,D2_A4_minus_A5,D3_A6_minus_A7,D4_A8_minus_A9
1024,-4,-171,151,16,0,0
2048,7,-308,265,50,0,0
4096,-19,-563,419,125,0,0
8192,22,-1027,726,323,0,0
16384,-32,-1899,1121,746,0,0
32768,26,-3511,1805,1731,1,0
65536,14,-6541,2729,3819,7,0
131072,-20,-12250,3902,8292,36,0
262144,24,-22999,5120,17766,137,0
524288,-125,-43389,5345,37482,437,0
1048576,257,-82024,2508,78449,1324,0
2097152,-362,-155610,-10526,162117,3657,0
4194304,228,-295946,-47380,333804,9750,0
8388608,-10,-564162,-142649,681966,24835,0
16777216,211,-1077870,-370388,1387059,61404,6
