k,X,m,p_m,P_over_X2,Y_over_X,F,N_allowed,F_over_sqrtN
10,1024,8,19,9.250345230102539,9.250345230102539,-10,92,-1.0425720702853738
11,2048,8,19,2.3125863075256348,2.3125863075256348,-4,114,-0.3746343246326776
12,4096,8,19,0.5781465768814087,0.5781465768814087,3,137,0.25630729731502827
13,8192,8,19,0.14453664422035217,0.14453664422035217,10,160,0.7905694150420948
14,16384,10,29,24.101485423743725,24.101485423743725,20,352,1.0660035817780522
15,32768,10,29,6.025371355935931,6.025371355935931,23,417,1.126314845811101
16,65536,10,29,1.5063428389839828,1.5063428389839828,6,490,0.2710523708715754
17,131072,10,29,0.3765857097459957,0.3765857097459957,-14,564,-0.5895063447465633
18,262144,10,29,0.09414642743649893,0.09414642743649893,-24,634,-0.9531617649474451
19,524288,12,37,26.996488067416067,26.996488067416067,-60,1488,-1.5554275420956378
20,1048576,12,37,6.749122016854017,6.749122016854017,-53,1715,-1.2798050143031823
21,2097152,12,37,1.6872805042135042,1.6872805042135042,-25,1953,-0.5657035277517756
22,4194304,12,37,0.42182012605337604,0.42182012605337604,33,2197,0.7040425567474061
23,8388608,12,37,0.10545503151334401,0.10545503151334401,62,2434,1.2566993850118793
24,16777216,12,37,0.026363757878336003,0.026363757878336003,56,2668,1.084164329727313
