X,k,E_mu,E_avg,ratio
16384,0,1024,9962,0.102790604296
16384,1,3275,22839,0.143395069837
16384,2,23021,18669,1.23311371793
16384,3,17150,6822,2.51392553503
16384,4,1304,1088,1.19852941176
16384,5,57,57,1
32768,0,676,19920,0.0339357429719
32768,1,9507,46915,0.202643077907
32768,2,34838,40010,0.870732316921
32768,3,42615,15615,2.72910662824
32768,4,4662,2778,1.67818574514
32768,5,166,178,0.932584269663
32768,6,1,1,1
65536,0,196,39844,0.0049191848208
65536,1,13109,96175,0.136303613205
65536,2,69946,85216,0.820808298911
65536,3,89831,35263,2.54745767518
65536,4,16004,6912,2.31539351852
65536,5,486,540,0.9
65536,6,7,7,1
131072,0,400,79688,0.00501957634776
131072,1,23250,196750,0.118170266836
131072,2,126878,180494,0.702948574468
131072,3,190703,78703,2.42307154746
131072,4,47606,16776,2.83774439676
131072,5,1500,1540,0.974025974026
131072,6,36,36,1
262144,0,576,159360,0.00361445783133
262144,1,46900,401822,0.116718347925
262144,2,218007,380511,0.572932188557
262144,3,398653,173879,2.29270354672
262144,4,129215,39855,3.24212771296
262144,5,5209,4161,1.25186253304
262144,6,137,137,1
524288,0,15625,318725,0.0490234528198
524288,1,83465,819613,0.101834646351
524288,2,408192,799364,0.510645963541
524288,3,772043,381357,2.02446264262
524288,4,340133,93287,3.64609216718
524288,5,18237,10849,1.68098442253
524288,6,431,445,0.968539325843
524288,7,1,1,1
1048576,0,66049,637461,0.103612613164
1048576,1,213584,1669694,0.127918049655
1048576,2,673604,1673526,0.402505846936
1048576,3,1567812,830696,1.8873474773
1048576,4,804885,215693,3.73162318666
1048576,5,63808,27676,2.30553548201
1048576,6,1314,1396,0.941260744986
1048576,7,9,9,1
2097152,0,131044,1274918,0.102786218007
2097152,1,364722,3397530,0.107349166926
2097152,2,1450569,3492811,0.415301196257
2097152,3,2845547,1797945,1.58266557249
2097152,4,1906284,492572,3.87006183867
2097152,5,201384,68846,2.92513726288
2097152,6,3997,4073,0.981340535232
2097152,7,52,52,1
4194304,0,51984,2549834,0.0203872105404
4194304,1,702409,6906367,0.101704548887
4194304,2,2372444,7270374,0.326316654633
4194304,3,5719556,3870884,1.47758393452
4194304,4,4154560,1113924,3.72966160707
4194304,5,606963,168121,3.61027474081
4194304,6,13168,11454,1.14964195914
4194304,7,213,213,1
