X,band_lo,band_hi,channels,ordered_offdiag_pairs,actual_rho,null_mean,null_sd,z
262144,128,256,23,13960726,0.0016673917961,0.00145523958494,0.000127600556571,1.66262763156
262144,256,512,43,6495970,0.00203849463591,0.00210027735563,0.000303614100281,-0.203490943501
262144,512,1024,75,2808322,0.00166718773702,0.00232332381544,0.000830934498822,-0.789636342403
262144,1024,2048,137,1314170,-0.00686516965081,-0.00659933031888,0.000742187914137,-0.358183321045
262144,2048,4096,255,619526,-0.0246026801135,-0.0255450441836,0.000598983386338,1.57327246728
262144,4096,8192,464,284602,-0.0465562434558,-0.0463699927206,0.000557265280291,-0.334222751253
262144,8192,16384,872,139148,-0.0394975134389,-0.039596823442,0.000810292168463,0.122560734245
262144,16384,32768,1612,68086,0.0356901565667,0.0358752971691,0.0012407040476,-0.149222211988
262144,32768,65536,3030,37914,-0.0387719575882,-0.0418584787897,0.00214363078086,1.43985672766
262144,65536,131072,5709,19178,-0.595369694442,-0.598954128498,0.00336753306297,1.06440946217
