q,prime_hit,comp_hit,delta_hit,prime_weight,comp_weight,delta_weight
7,0.166734497162,0.129582663571,0.037151833591,0.194366498875,0.151247246532,0.043119252343
11,0.100000000000,0.085854616896,0.014145383104,0.109789011460,0.094534738346,0.015254273114
13,0.083238727643,0.073405965351,0.009832762292,0.090125307915,0.079549919629,0.010575388286
17,0.062611117061,0.056712508186,0.005898608875,0.066466745207,0.060278621182,0.006188124025
19,0.055360394131,0.051110317319,0.004250076812,0.058359216022,0.053985830803,0.004373385219
23,0.045453571811,0.042382568316,0.003071003495,0.047317125415,0.044436506519,0.002880618896
29,0.035718110742,0.033803655415,0.001914455328,0.036842668951,0.035101506221,0.001741162730
31,0.033394023776,0.031618741442,0.001775282334,0.034529292064,0.032648687266,0.001880604798
37,0.027921173825,0.026522593320,0.001398580504,0.028767270001,0.027213192832,0.001554077169
41,0.025018742637,0.024034053700,0.000984688937,0.025639927171,0.024635351551,0.001004575621
47,0.021902109885,0.020932309341,0.000969800544,0.022298382778,0.021408584866,0.000889797912
43,0.023883474349,0.022914806215,0.000968668134,0.024429688337,0.023456569626,0.000973118711
53,0.019438791903,0.018556885158,0.000881906745,0.019792224483,0.018920045246,0.000872179237
59,0.017296776266,0.016758945050,0.000537831217,0.017585948377,0.017056617253,0.000529331124
131,0.007936167934,0.007465618861,0.000470549074,0.008011138481,0.007495386081,0.000515752400
61,0.016622041341,0.016240995416,0.000381045925,0.016879083217,0.016520807287,0.000358275930
67,0.015165470708,0.014800261952,0.000365208756,0.015347542037,0.015050306602,0.000297235435
773,0.001124558209,0.001405012800,-0.000280454591,0.001124558209,0.001405012800,-0.000280454591
449,0.002399057513,0.002125379532,0.000273677981,0.002399057513,0.002125379532,0.000273677981
1063,0.000781835707,0.001041852712,-0.000260017004,0.000781835707,0.001041852712,-0.000260017004
107,0.009510549427,0.009251652081,0.000258897346,0.009596230052,0.009335000298,0.000261229755
113,0.009017885831,0.008769423111,0.000248462719,0.009092856378,0.008840864440,0.000251991938
443,0.002099175324,0.002339703518,-0.000240528195,0.002099175324,0.002339703518,-0.000240528195
1669,0.000749705473,0.000523903078,0.000225802395,0.000749705473,0.000523903078,0.000225802395
953,0.000899646567,0.001125200929,-0.000225554361,0.000899646567,0.001125200929,-0.000225554361
127,0.008021848559,0.007799011728,0.000222836831,0.008096819107,0.007858546169,0.000238272938
73,0.013848131091,0.013633386914,0.000214744177,0.014051622577,0.013811990236,0.000239632340
2767,0.000492663596,0.000279811871,0.000212851725,0.000492663596,0.000279811871,0.000212851725
83,0.012177358895,0.011966422575,0.000210936319,0.012316589911,0.012109305233,0.000207284678
103,0.009842561851,0.009632672501,0.000209889350,0.009971082789,0.009710067274,0.000261015515
353,0.002977401735,0.002768351491,0.000209050244,0.002977401735,0.002768351491,0.000209050244
1109,0.000781835707,0.000982318271,-0.000200482564,0.000781835707,0.000982318271,-0.000200482564
157,0.006490307379,0.006292790379,0.000197517000,0.006533147692,0.006340417932,0.000192729760
1583,0.000749705473,0.000565577186,0.000184128286,0.000749705473,0.000565577186,0.000184128286
1301,0.000664024847,0.000845389058,-0.000181364210,0.000664024847,0.000845389058,-0.000181364210
1213,0.000942486880,0.000762040841,0.000180446040,0.000942486880,0.000762040841,0.000180446040
89,0.011352682875,0.011174614514,0.000178068360,0.011470493735,0.011293683396,0.000176810339
2063,0.000364142658,0.000541763410,-0.000177620752,0.000364142658,0.000541763410,-0.000177620752
479,0.002206276106,0.002030124427,0.000176151679,0.002206276106,0.002030124427,0.000176151679
3449,0.000182071329,0.000357206644,-0.000175135315,0.000182071329,0.000357206644,-0.000175135315
