k,X,m0,p_m0,P_m0,Y_over_1,strict_cutoff,F_m0,prediction,N_allowed
10,1024,5,11,2310,2.255859375,2,0,0,30
11,2048,5,11,2310,1.1279296875,1,1,1,31
12,4096,6,13,30030,7.33154296875,7,2,2,58
13,8192,6,13,30030,3.665771484375,3,1,1,61
14,16384,6,13,30030,1.8328857421875,1,-1,-1,63
15,32768,7,17,510510,15.57952880859375,15,-1,-1,117
16,65536,7,17,510510,7.789764404296875,7,-2,-2,122
17,131072,7,17,510510,3.8948822021484375,3,-1,-1,125
18,262144,7,17,510510,1.9474411010742188,1,1,1,127
19,524288,8,19,9699690,18.500690460205078,18,2,2,244
20,1048576,8,19,9699690,9.250345230102539,9,2,2,250
21,2097152,8,19,9699690,4.6251726150512695,4,1,1,253
22,4194304,8,19,9699690,2.3125863075256348,2,0,0,254
23,8388608,8,19,9699690,1.1562931537628174,1,-1,-1,255
24,16777216,9,23,223092870,13.2973712682724,13,-3,-3,503
