theta_over_pi,growth_exponent_recent8
0.000,1.0001
0.083,0.9980
0.167,0.9925
0.250,0.9834
0.333,0.9706
0.417,0.9539
0.500,0.9332
0.583,0.9079
0.667,0.8749
0.750,0.8145
0.833,0.6678
0.917,0.5242
1.000,0.4995
1.083,0.5249
1.167,0.6608
1.250,0.8112
1.333,0.8784
1.417,0.9130
1.500,0.9378
1.583,0.9576
1.667,0.9733
1.750,0.9853
1.833,0.9937
1.917,0.9986
2.000,1.0001
