X,M,Q_squarefree,M_over_sqrtQ,mean_k,var_k,poisson_parity_null,independent_channel_parity_null,Gprime_minus1,root_near_minus1_real,root_distance
1024,-4,624,-0.160128153805,2.000000000000,0.612179487179,11.428958666570,6.675041944554,-52,-1.082610264662,0.082610264662
2048,7,1245,0.198387070443,2.079518072289,0.654721052886,19.450147708841,11.048772867148,-111,-0.938570590724,0.061429409276
4096,-19,2491,-0.380685852358,2.156965074267,0.700773446793,33.331715686169,18.589719168519,-83,-1.165393052848,0.257712196734
8192,22,4982,0.311688528920,2.227217984745,0.744839269624,57.925095924663,31.755960259872,-264,-0.922409066950,0.077590933050
16384,-32,9962,-0.320609738306,2.292611925316,0.784585046949,101.627003570126,54.754052878258,-229,-1.148474218898,0.199469020156
32768,26,19920,0.184216565411,2.355170682731,0.825410011028,179.313947404715,95.479321320286,-593,-0.958970677582,0.041029322418
65536,14,39844,0.070136900565,2.413788776227,0.864894700490,318.986746790496,167.895633800635,-861,-0.984307964816,0.015692035184
131072,-20,79688,-0.070848968572,2.469004116053,0.903039857527,571.272344601620,297.460614089503,-1334,-1.015666723702,0.015666723702
262144,24,159360,0.060120361204,2.521473393574,0.939134776903,1028.620934618659,530.725968196199,-2458,-0.990466920211,0.009533079789
524288,-125,318725,-0.221412404395,2.571536591105,0.974746819216,1861.263354140190,952.653317390750,-3815,-1.036910490862,0.036910490862
1048576,257,637461,0.321889131789,2.619288081938,1.009216885923,3383.521174433445,1719.804672717096,-8154,-0.970533544347,0.029466455653
2097152,-362,1274918,-0.320602898315,2.664900801463,1.042476127880,6177.017432497272,3119.878088022359,-11718,-1.034798990146,0.034798990146
4194304,228,2549834,0.142783785915,2.708555537341,1.074907785857,11321.147799071792,5685.556772412795,-24153,-0.990788100840,0.009211899160
8388608,-10,5099650,-0.004428226379,2.750430715833,1.106358510669,20823.158509736058,10404.066934840408,-41746,-1.000239710084,0.000239710084
16777216,211,10199301,0.066068926581,2.790654869388,1.136959456348,38427.168741781657,19110.530078556985,-76387,-0.997259455383,0.002740544617
