degree,count,energy_fraction,rms_raw,max_abs_raw
0,1,0.009006500244140625,9444.0,9444.0
1,20,0.06239598406315456,5558.290834420236,7016.0
2,190,0.1728167451069245,3001.1939062909437,4890.0
3,1140,0.23177523736174155,1418.9236827764416,3064.0
4,4845,0.13413662528749343,523.6061550180207,1616.0
5,15504,0.01339365738218793,92.49231692076096,1036.0
6,38760,0.02995763517748951,87.48625485435808,852.0
7,77520,0.07097050700335117,95.21601858972276,890.0
8,125970,0.033518717279882565,51.33198708708948,648.0
9,167960,0.021052345589327136,35.23102334525352,750.0
10,184756,0.04991901289452339,51.72632983256751,622.0
11,167960,0.03920966636725575,48.08078906104345,804.0
12,125970,0.019804847487853976,39.457551528552855,934.0
13,77520,0.03107834831732201,63.008628825753284,708.0
14,38760,0.03646390915724849,96.52008030970953,1258.0
15,15504,0.023772939692508967,123.22462645726087,1950.0
16,4845,0.01241261127993799,159.2805081890364,2528.0
17,1140,0.006093427519937634,230.06806773099495,1570.0
18,190,0.0019632793492757885,319.88376178329463,1794.0
19,20,0.00025788670321330836,357.336536055299,1252.0
20,1,1.1673522975070151e-07,34.0,34.0
