X,M,sum_betti,alternating_betti,beta0,beta1,beta2,beta3,beta4,beta5,beta6
1024,-4,206,-4,75,101,30,0,0,0,0
2048,7,415,7,137,207,67,4,0,0,0
4096,-19,831,-19,255,394,170,12,0,0,0
8192,22,1660,22,464,801,355,40,0,0,0
16384,-32,3320,-32,872,1535,803,109,1,0,0
32768,26,6638,26,1612,3035,1688,297,6,0,0
65536,14,13286,14,3030,5924,3577,726,29,0,0
131072,-20,26558,-20,5709,11547,7480,1722,100,0,0
262144,24,53114,24,10749,22559,15503,4009,293,1,0
524288,-125,106251,-125,20390,43981,31946,9074,852,8,0
1048576,257,212485,257,38635,86018,65264,20310,2215,43,0
2097152,-362,424972,-362,73586,167729,133380,44415,5701,161,0
4194304,228,849944,228,140336,327856,270567,96677,13955,553,0
8388608,-10,1699872,-10,268216,640521,548270,207721,33449,1689,6
16777216,211,3399779,211,513708,1252181,1107615,442966,78422,4848,39
