X,M,primorial_last_prime,primorial_value,next_prime,first_nonzero_activation_prime,max_abs_activation_state,prime_at_max_abs,max_abs_over_X,abs_final_over_max_abs,F_at_X_over_2,prime_count_X_over_2_to_X,M_plus_prime_tail,activation_sign_changes
1024,-4,7,210,11,13,71,337,0.0693359375,0.056338028169014086,71,75,71,2
2048,7,7,210,11,11,144,677,0.0703125,0.04861111111111111,144,137,144,2
4096,-19,11,2310,13,13,236,1361,0.0576171875,0.08050847457627118,236,255,236,3
8192,22,11,2310,13,13,486,2729,0.059326171875,0.04526748971193416,486,464,486,2
16384,-32,11,2310,13,13,840,5449,0.05126953125,0.0380952380952381,840,872,840,4
32768,26,13,30030,17,17,1638,10909,0.04998779296875,0.015873015873015872,1638,1612,1638,3
65536,14,13,30030,17,17,3044,21841,0.04644775390625,0.0045992115637319315,3044,3030,3044,3
131072,-20,13,30030,17,17,5689,43669,0.04340362548828125,0.003515556336790297,5689,5709,5689,4
262144,24,13,30030,17,17,10773,87359,0.041095733642578125,0.002227791701475912,10773,10749,10773,4
524288,-125,17,510510,19,19,20265,174761,0.03865242004394531,0.00616827041697508,20265,20390,20265,5
1048576,257,17,510510,19,19,38892,349519,0.037090301513671875,0.006608042785148617,38892,38635,38892,4
