X,M,degree,nonreal_root_count,nearest_real_root,root_displacement,Gprime_minus1,Gsecond_minus1,newton_displacement,root_over_newton,M_log2_over_X,root_over_Mlog2X
1024,-4,4,0,-1.08261026466199,-0.0826102646619937,-52,-74,-0.0769230769230769,1.07393344060592,-0.187676958561797,0.440172652493152
2048,7,4,0,-0.938570590723933,0.061429409276067,-111,-110,0.0630630630630631,0.974094918520491,0.198702979877303,0.309151927736559
4096,-19,5,2,-0.00177925076719001,0.99822074923281,-83,-442,-0.228915662650602,-4.36064853612228,-0.320927599140674,-3.11042350955692
8192,22,5,2,-0.922409066949928,0.0775909330500718,-264,-544,0.0833333333333333,0.931091196600862,0.218057166228988,0.355828402211699
16384,-32,5,2,-0.000526923605611667,0.999473076394388,-229,-1422,-0.139737991266376,-7.15247920294734,-0.183923419390561,-5.43418059378293
32768,26,6,2,-0.958970677582212,0.0410293224177878,-593,-2016,0.0438448566610455,0.935784161298006,0.0857742349676965,0.478340872795192
65536,14,6,0,-0.984307964816165,0.0156920351838353,-861,-3988,0.016260162601626,0.965060163805873,0.0262747741986516,0.597228165128841
131072,-20,6,0,-1.01566672370227,-0.0156667237022654,-1334,-7320,-0.0149925037481259,1.0449704709411,-0.0211869691501404,0.739450913967163
262144,24,6,0,-0.990466920211309,0.00953307978869089,-2458,-12486,0.00976403580146461,0.976346255025092,0.0142517190407865,0.668907362080918
524288,-125,7,0,-1.03691049086235,-0.036910490862353,-3815,-23364,-0.0327653997378768,1.12650818111901,-0.0413521618901421,0.892589145893047
1048576,257,7,2,-0.970533544347466,0.0294664556525345,-8154,-38212,0.0315182732401275,0.934900698018545,0.0471025179202949,0.625581326722205
2097152,-362,7,2,-1.03479899014626,-0.0347989901462598,-11718,-76470,-0.0308926437958696,1.12644907882285,-0.0365736389388702,0.951477379771353
4194304,228,7,2,-0.990788100839573,0.00921189916042719,-24153,-129220,0.00943982114023103,0.975855265007886,0.0126407029609445,0.728748961896253
8388608,-10,7,2,-1.00023971008351,-0.000239710083507871,-41746,-241484,-0.000239543908398409,1.00069371461196,-0.000302981906369601,0.791169632471235
16777216,211,8,2,-0.997259455383379,0.00274054461662132,-76387,-440864,0.0027622501210939,0.992142093032478,0.00348045453426614,0.787409974656993
