X,p,q,ordered_offdiag_pairs,actual_rho,null_mean,null_sd,z,fully_visible
262144,2,101,238644,-0.00502841051943,-0.00531186970661,0.00127245199686,0.222766114456,1
262144,3,101,125816,-0.00457811407134,-0.00466943164765,0.00145870509828,0.0626018078761,1
262144,5,101,54484,-0.000807576536231,5.09633371927e-05,0.00107263061521,-0.800405900455,1
262144,7,101,29412,-0.00271997824017,-0.00230467020893,0.00268065454831,-0.154927844585,1
262144,11,101,13322,-0.0157633988891,-0.0129098059847,0.00332408054982,-0.85846081692,1
262144,2,103,228436,-0.00647883871194,-0.00572940539797,0.00140004941921,-0.53529061452,1
262144,3,103,120422,-0.00529803524273,-0.00557068913242,0.00159300502045,0.171156955683,1
262144,5,103,52558,0.000494691578827,0.000713134133439,0.00225863674341,-0.0967143367562,1
262144,7,103,28326,-0.00755489656146,-0.00280055904089,0.00388953537901,-1.22234073155,1
262144,11,103,12854,-0.0154037653649,-0.0142372196672,0.00508366407378,-0.229469469407,1
262144,2,107,211186,-0.00679022283674,-0.00600256967114,0.00144086775502,-0.546651948354,1
262144,3,107,113008,-0.0060526688376,-0.0059952105625,0.00163805601522,-0.0350771124843,1
262144,5,107,48114,-0.003367003367,0.000653106884399,0.00310605787079,-1.29428053779,1
262144,7,107,26596,-0.00797112347721,-0.003341545343,0.00398654603948,-1.16130055651,1
262144,11,107,11800,-0.0179661016949,-0.0137272951473,0.00827353600719,-0.512333123821,1
262144,2,109,202754,-0.00728962190635,-0.00634046038988,0.00175534406916,-0.540726762999,1
262144,3,109,108408,-0.00800678916685,-0.00677891646799,0.00213811100616,-0.574279209696,1
262144,5,109,46198,-0.00264080696134,-0.000788908393052,0.00282340578931,-0.65590946059,1
262144,7,109,25412,-0.0091295450968,-0.0031270169505,0.00399480809753,-1.50258235183,1
262144,11,109,11292,-0.0223166843783,-0.0108946355422,0.00883349194028,-1.29303891522,1
262144,2,113,190258,-0.00774737461762,-0.00524233801912,0.00168957517518,-1.48264287692,1
262144,3,113,102002,-0.00801945059901,-0.00571853938817,0.00201384816093,-1.14254453513,1
262144,5,113,43210,-0.00134228187919,-0.000739102653891,0.00356127279464,-0.169371811733,1
262144,7,113,24216,-0.00710274198877,0.000413527853978,0.00342003373782,-2.19771803992,1
262144,11,113,10340,-0.0181818181818,-0.00674725099498,0.00337803801342,-3.38497291665,1
262144,2,127,148834,-0.00549605600871,-0.00514850639165,0.00152654217145,-0.227671153513,1
262144,3,127,79472,-0.00342258908798,-0.00459178611977,0.001786027681,0.654635448391,1
262144,5,127,33516,-0.00429645542427,-0.00141417481898,0.00336598152209,-0.856297215651,1
262144,7,127,18838,0.00605159783416,0.003356537422,0.00261747884011,1.02963980868,1
262144,2,131,139684,-0.00902036024169,-0.00732608711881,0.00207042528549,-0.818321305652,1
262144,3,131,74952,-0.00523001387555,-0.00679589161698,0.00249648969936,0.627231805456,1
262144,5,131,31262,-0.00825283091293,-0.00417816790453,0.00373719187904,-1.09030072319,1
262144,7,131,17966,0.00055660692419,-0.00182961594111,0.0041693988297,0.572318207677,1
262144,2,137,128766,-0.0107637109175,-0.00795603633866,0.00143316680695,-1.95907033655,1
262144,3,137,68514,-0.0113553434335,-0.00727963221497,0.00176813697,-2.30508794717,1
262144,5,137,28738,-0.00633307815436,-0.00461904761977,0.00365685192782,-0.468717511243,1
262144,7,137,16564,-0.00652016421154,-0.00662742549097,0.00229469685134,0.0467431152678,1
262144,2,139,124636,-0.009563849931,-0.009115076766,0.00109165325719,-0.411094971814,1
262144,3,139,66566,-0.00982483550161,-0.00870834712603,0.00315889092234,-0.353443155533,1
262144,5,139,27834,-0.0042394194151,-0.00577010249581,0.00295094605234,0.518709272742,1
262144,7,139,16276,-0.00712705824527,-0.00736227629322,0.00228506776774,0.10293701188,1
262144,2,149,108206,-0.0126610354324,-0.00987521308932,0.0013231083551,-2.10551337867,1
262144,3,149,58002,-0.0166545981173,-0.0112771322733,0.00275842010396,-1.94947311915,1
262144,5,149,24480,-0.0130718954248,-0.00720147678713,0.00284771615583,-2.06144795214,1
262144,7,149,14104,-0.00907543959161,-0.00921625282611,0.00229765800158,0.0612855500723,1
262144,2,151,105708,-0.0113898664245,-0.00944624000054,0.00167951122824,-1.15725717773,1
262144,3,151,56724,-0.0150200973133,-0.0112094951472,0.00234067065788,-1.62799587088,1
262144,5,151,24132,-0.0134261561412,-0.00786776037562,0.00391330339183,-1.42038457259,1
262144,7,151,13644,-0.00820873644093,-0.00828385575013,0.00255378189107,0.0294149275123,1
262144,2,157,99054,-0.0115694469683,-0.00996540305105,0.00119945681344,-1.33730860445,1
262144,3,157,52298,-0.0155646487437,-0.0107610211237,0.00208739248608,-2.30125750287,1
262144,5,157,22438,-0.00971566093235,-0.00856378010284,0.00293224941561,-0.392831804613,1
262144,7,157,12774,-0.0136214185063,-0.010561603558,0.00348851088141,-0.877112055064,1
262144,2,163,92518,-0.0121706046391,-0.0104270620779,0.00140005618473,-1.24533756589,1
262144,3,163,49034,-0.0114614349227,-0.0109174049375,0.00168803785476,-0.322285417769,1
262144,5,163,21102,-0.0105203298266,-0.0095233027261,0.00355730632954,-0.280275862715,1
262144,7,163,12000,-0.016,-0.0127819527384,0.00361365708268,-0.890523696066,1
262144,2,167,87512,-0.0111984642106,-0.0112790945046,0.00168700696363,0.0477948791767,1
262144,3,167,47176,-0.0107681872138,-0.0118154871041,0.00164190396495,0.637856971313,1
262144,5,167,19890,-0.0113624937154,-0.00902472586024,0.00373845022226,-0.625330743011,1
262144,7,167,11352,-0.014799154334,-0.0135522322114,0.00437674444501,-0.284897173758,1
262144,2,173,82120,-0.0125669751583,-0.0111215333824,0.00135274816682,-1.06852244298,1
262144,3,173,43712,-0.0135431918009,-0.0110586065342,0.00160887330848,-1.54430137759,1
262144,5,173,18728,-0.0119607005553,-0.00785016047093,0.00454665968123,-0.904079120186,1
262144,7,173,10470,-0.0170009551098,-0.0109490470661,0.00381689769148,-1.58555678798,1
262144,2,179,76198,-0.0128874773616,-0.0107241487033,0.00200837081006,-1.07715599504,1
262144,3,179,40620,-0.0140817331364,-0.0105643721371,0.00241572928817,-1.45602448773,1
262144,5,179,17288,-0.00509023600185,-0.00892362846939,0.00381948978725,1.00363993126,1
262144,7,179,9744,-0.012315270936,-0.00912394120715,0.00429680553112,-0.742721471962,1
262144,2,181,75068,-0.0128416902009,-0.0097279278431,0.00272773441353,-1.14151962242,1
262144,3,181,39816,-0.0139642354832,-0.00991267345358,0.00261714447899,-1.548084969,1
262144,5,181,17072,-0.00328022492971,-0.0101928220971,0.00473236073263,1.46070799711,1
262144,7,181,9552,-0.0113065326633,-0.00843765064534,0.00321280646186,-0.892952019373,1
262144,2,191,66780,-0.0094040131776,-0.0103690431095,0.00255803386978,0.377254556049,1
262144,3,191,35610,-0.0103903397922,-0.0109095693448,0.00207594869505,0.250116755694,1
262144,5,191,15482,-0.0109804934763,-0.0124816241782,0.00411280797326,0.364989251064,1
262144,7,191,8512,-0.00281954887218,-0.0090671367003,0.00550905261973,1.13405847781,1
262144,2,193,65364,-0.00789425371764,-0.0112970429266,0.00204103108244,1.66719127321,1
262144,3,193,34648,-0.0111983375664,-0.0122392979256,0.00266626726137,0.390418610441,1
262144,5,193,15130,-0.0115003304693,-0.0140697276691,0.00293542785117,0.875305860017,1
262144,7,193,8390,-0.00691299165673,-0.00913507252683,0.00633141621982,0.350961110904,1
262144,2,197,62422,-0.0052865976739,-0.0136186932117,0.00217982075544,3.82237645781,1
262144,3,197,33280,-0.00817307692308,-0.015978562398,0.00304302270252,2.56504345777,1
262144,5,197,14386,-0.0115389962464,-0.016051962278,0.0032806941487,1.37561315597,1
262144,2,199,60644,-0.0103555174461,-0.0152939941506,0.00304941105956,1.61948540491,1
262144,3,199,32644,-0.0117632643058,-0.0187519435545,0.00319071639939,2.19031664799,1
262144,5,199,14238,-0.015592077539,-0.0168577231434,0.00406502178288,0.311350263793,1
262144,2,211,54868,-0.0159655901436,-0.0161971695913,0.00270841387876,0.08550371474,1
262144,3,211,29064,-0.0222956234517,-0.0200244689298,0.00257907021689,-0.880609805426,1
262144,5,211,12360,-0.0152103559871,-0.0179373472949,0.00620314088408,0.439614601513,1
262144,2,223,48900,-0.0232310838446,-0.0176460850047,0.00228085706109,-2.44864044098,1
262144,3,223,25824,-0.0249380421314,-0.0220530531056,0.00242074091104,-1.19177934845,1
262144,5,223,11228,-0.0252939080869,-0.0207565603091,0.00504899859033,-0.898662912386,1
262144,2,227,47252,-0.0212477778718,-0.0186583694729,0.00247143440004,-1.04773503148,1
262144,3,227,24698,-0.0253461818771,-0.0234703903319,0.00379051824268,-0.494864138638,1
262144,5,227,10848,-0.0298672566372,-0.0222715726283,0.00495786778519,-1.53204650425,1
262144,2,229,46442,-0.0206278799363,-0.0190702647355,0.00292124568387,-0.533202396979,1
262144,3,229,24128,-0.0240384615385,-0.0241332019647,0.00358835952302,0.0264021555346,1
262144,2,233,44696,-0.0215679255414,-0.0194935829094,0.00270058346746,-0.768109061244,1
262144,3,233,23484,-0.024186680293,-0.0261792326339,0.00387258650236,0.514527523076,1
262144,2,239,42486,-0.0254672127289,-0.0206623208297,0.00239609871104,-2.00529797754,1
262144,3,239,22162,-0.0331197545348,-0.028088002601,0.00412307338394,-1.22038864344,1
262144,2,241,41686,-0.0251883126229,-0.0196066839991,0.00272717472015,-2.04667071112,1
262144,3,241,21894,-0.032246277519,-0.0275395505007,0.00417076877728,-1.12850346533,1
262144,2,251,39046,-0.0212569789479,-0.0185315877811,0.0022733295633,-1.19885440757,1
262144,3,251,20254,-0.029327540239,-0.0263522313339,0.0041516956014,-0.716649097303,1
262144,2,257,37238,-0.0171330361459,-0.0153870752383,0.00251968342426,-0.692928679343,1
262144,3,257,19464,-0.0271270036991,-0.0240404281639,0.00411159451564,-0.750700372701,1
262144,2,263,35374,-0.0169050715215,-0.0143716793258,0.00263501711946,-0.961432917039,1
262144,3,263,18710,-0.024478888295,-0.0233604046304,0.00464220460891,-0.240938036747,1
262144,2,269,33972,-0.0136583068409,-0.0141990155594,0.00298586577072,0.181089425994,1
262144,3,269,17962,-0.0217125041755,-0.0239184078585,0.005089048376,0.433460938081,1
262144,2,271,33256,-0.0132306952129,-0.0154947530531,0.00390500728188,0.579783256932,1
262144,3,271,17700,-0.0205649717514,-0.0261873490281,0.00599544014016,0.937775566977,1
262144,2,277,32278,-0.0164198525311,-0.0169934448648,0.00404961399833,0.141641236404,1
262144,3,277,16992,-0.02565913371,-0.0260480775671,0.00418290749122,0.0929840925116,1
262144,2,281,30946,-0.0126025980741,-0.0182499673277,0.00461894028806,1.22265474361,1
262144,3,281,16238,-0.0252494149526,-0.0266941832374,0.00466745372912,0.309540997868,1
262144,2,283,30720,-0.01640625,-0.0196249976936,0.00455513338472,0.706619855388,1
262144,3,283,16088,-0.0305818000995,-0.0262889694831,0.00604854335728,-0.709729659322,1
262144,2,293,28396,-0.020707141851,-0.0222018702176,0.00462379407936,0.323268800673,1
262144,3,293,14934,-0.0247756796572,-0.028379768045,0.00657817711682,0.547885580437,1
262144,2,307,25390,-0.0268609688854,-0.0232699466357,0.00403581990741,-0.889787535648,1
262144,2,311,25390,-0.0268609688854,-0.0234053149603,0.00342259372975,-1.00965939809,1
262144,2,313,24712,-0.0291356426028,-0.0232852520211,0.00274240693577,-2.13330505599,1
262144,2,317,24188,-0.0254671738052,-0.0231346775801,0.00333730762882,-0.69891555845,1
262144,2,331,21906,-0.0271158586689,-0.0237749560157,0.00261453836141,-1.27781741606,1
262144,2,337,20824,-0.0226661544372,-0.0247923997921,0.00384833250425,0.552510821915,1
262144,2,347,19784,-0.0270926000809,-0.0244772847694,0.00370838400909,-0.705243929726,1
262144,2,349,19514,-0.0255201393871,-0.0237398911882,0.00292007987546,-0.609657363791,1
262144,2,353,19216,-0.0270607826811,-0.0228538163071,0.00342784946922,-1.22729029141,1
262144,2,359,18668,-0.0267838011571,-0.0227776367595,0.00363852766394,-1.10103997208,1
262144,11,127,8202,-0.00999756157035,-0.0100312274682,0.0013296694552,0.0253189976939,1
262144,11,131,7680,-0.0177083333333,-0.0189377817772,0.00285038755345,0.431326765517,1
262144,11,137,6932,-0.0219272937103,-0.0213604762767,0.0055073914004,-0.102919402752,1
262144,11,139,6746,-0.0228283427216,-0.0244773840585,0.00551883865592,0.29880223716,1
