sigma,observable,t_min,min_coherence,median_coherence
0.20,T_count,34.05,0.0265145249556,0.0707520198768
0.35,T_count,34.6,0.0223047303322,0.0641538307069
0.50,T_count,34.75,0.0168603208322,0.0568847461934
0.65,T_count,34.8,0.0100087433705,0.0499638256214
0.80,T_count,34.8,0.000923619205437,0.0433659681783
0.20,W_count,35.15,0.00471859146288,0.0402227591148
0.35,W_count,35.15,0.00413378734896,0.0366525391787
0.50,W_count,46.7,0.00303666003874,0.0342590826668
0.65,W_count,47.75,0.00119837310098,0.0330505714913
0.80,W_count,43.75,0.00182100798355,0.0292276753994
0.20,log1p_T,44.95,0.00419116570266,0.0360353039452
0.35,log1p_T,44.95,0.00648280110291,0.0320261329455
0.50,log1p_T,46.5,0.00328446569752,0.029317065115
0.65,log1p_T,40.6,0.000781703756209,0.0275410884007
0.80,log1p_T,20.35,0.000205315417597,0.0295915927415
0.20,log1p_W,46.4,0.00777458075647,0.0354419370318
0.35,log1p_W,46.4,0.00180689341501,0.032827546811
0.50,log1p_W,49.85,0.000994602260041,0.0301997547325
0.65,log1p_W,36.6,0.00133436815077,0.028693226569
0.80,log1p_W,32.5,0.000523442583151,0.0335239404099
