kind,band_k,count,actual_stat,null_mean,null_sd,null_exceed_fraction
global,-1,22975,4.47541137284759,4.080380209035309,0.7662947183535523,0.35
global_mean_z2,-1,22975,1.3434903107806435,1.1861167766421485,0.5130702573981742,0.35
band_rms_flux_over_sqrt_g,7,23,0.4280740029734791,0.3505373029304705,0.0748476485507344,0.15
band_rms_flux_over_sqrt_g,8,43,0.3532085203667383,0.4056597868597128,0.13130323061191496,0.65
band_rms_flux_over_sqrt_g,9,75,0.3137404965494159,0.2695049096277953,0.0670370595564726,0.25
band_rms_flux_over_sqrt_g,10,137,0.3416205051154452,0.3260435756453857,0.09500476692554864,0.4
band_rms_flux_over_sqrt_g,11,255,0.4003323713987749,0.29209605109242076,0.06326787517621056,0.0
band_rms_flux_over_sqrt_g,12,464,0.2883457004488541,0.28450551231897026,0.08698321405277473,0.35
band_rms_flux_over_sqrt_g,13,872,0.33456855900156396,0.2730419041244293,0.0661879375648706,0.2
band_rms_flux_over_sqrt_g,14,1612,0.36956203647780594,0.2771441327359935,0.07898244288323078,0.15
band_rms_flux_over_sqrt_g,15,3030,0.3748301688554349,0.2985492219059803,0.09646254263353488,0.2
band_rms_flux_over_sqrt_g,16,5709,0.3304716241852008,0.29227627371540343,0.07807976005063864,0.25
band_rms_flux_over_sqrt_g,17,10749,0.27077760469875767,0.2846816476856732,0.08273090466160797,0.5
band_global_max_abs_z,-1,11,1.7107626896730719,2.1658988812507642,0.725443906372655,0.75
