N,seq,rank,t,critical_line_contrast
10000,prime,1,10.8,-3.05207529545
10000,prime,2,16.9,-2.14033475996
10000,prime,3,22.2,-1.65116026986
10000,prime,4,27.1,-1.49040475276
10000,prime,5,17.6,-1.41658570076
10000,prime,6,12.2,-1.35228703712
10000,Lambda,1,42.1,-1.26680221947
10000,Lambda,2,29.9,-1.18868696587
10000,Lambda,3,47,-1.1545693941
10000,Lambda,4,24.5,-0.846079797643
10000,Lambda,5,44.1,-0.481137972421
10000,Lambda,6,21.6,-0.374822574605
10000,omega,1,46.3,-1.45094704461
10000,omega,2,44.7,-0.380062469899
10000,omega,3,47.1,-0.273160126716
10000,omega,4,45.4,-0.240632865987
10000,omega,5,45.6,-0.235958051922
10000,omega,6,35.4,-0.202256109039
30000,prime,1,12.8,-2.92034744598
30000,prime,2,32.4,-2.59509304029
30000,prime,3,21.6,-2.58218056974
30000,prime,4,27.2,-2.46341838597
30000,prime,5,24.4,-2.2023144717
30000,prime,6,31.3,-1.71738729361
30000,Lambda,1,25.3,-2.18997401889
30000,Lambda,2,14.2,-1.20586792246
30000,Lambda,3,49.3,-1.08824128833
30000,Lambda,4,20.7,-0.997244967542
30000,Lambda,5,37.1,-0.991272525461
30000,Lambda,6,30.8,-0.912958084291
30000,omega,1,46.3,-0.257461034438
30000,omega,2,46.8,-0.134033873405
30000,omega,3,45.1,-0.127040342592
30000,omega,4,45.3,-0.126743964327
30000,omega,5,47.2,-0.12482015796
30000,omega,6,44.6,-0.1157486804
100000,prime,1,15,-3.32423899851
100000,prime,2,13.7,-2.45885277503
100000,prime,3,39.2,-2.32263179847
100000,prime,4,37.1,-1.91105846093
100000,prime,5,38.6,-1.88515820777
100000,prime,6,48.7,-1.81598632684
100000,Lambda,1,32.8,-1.67232283253
100000,Lambda,2,41.2,-1.15171490812
100000,Lambda,3,48.3,-0.884702594794
100000,Lambda,4,43.2,-0.836143820757
100000,Lambda,5,38,-0.315860465825
100000,Lambda,6,20.9,-0.188695510686
100000,omega,1,46.1,-0.12539588599
100000,omega,2,46.6,-0.123101597777
100000,omega,3,45.4,-0.104888569823
100000,omega,4,44.8,-0.0976381869872
100000,omega,5,35,-0.0887805500326
100000,omega,6,47.3,-0.0812621040806
