X,actual_t_star,null_samples,null_mean_t_star,null_sd_t_star,null_min_t_star,null_max_t_star,freeze_small_generators
65536,1.40506947997,50,1.369177,0.031451,1.291727,1.434595,100
131072,1.40255868553,30,1.36948075434,0.03262271322,1.31529078447,1.4224152095,100
262144,1.40556836639,20,1.36581991036,0.03818491364,1.28305054765,1.41712819557,100
