M,x_next_square,c_M,residual_partial_sum,S_minus_x,theta_minus_x,compression_error_S_minus_theta,residual_over_M_log2M
16,289,7,-22.116151514691396,-24.3243920454633,-17.655160533682306,-6.669231511780993,-0.17981199899179243
32,1089,9,-51.909911891173984,-54.11815242194598,-42.42314926534027,-11.695003156605708,-0.1350546005212796
64,4225,14,-98.63199665801305,-100.84023718878416,-80.9298295223889,-19.91040766639526,-0.08910137950461684
128,16641,24,-184.36702063400324,-186.57526116477675,-152.82484643032512,-33.750414734451624,-0.06118236573151072
256,66049,53,-342.74350000508286,-344.9517405358929,-286.76164021602017,-58.19010031987273,-0.04354099666454315
512,263169,79,-832.0487763413992,-834.2570168720558,-732.9926367008593,-101.26438017119654,-0.04175830714121964
1024,1050625,149,-1440.6809217665061,-1442.8891622971278,-1264.2830201550387,-178.60614214208908,-0.029283091621986064
2048,4198401,265,-2449.204847772095,-2451.4130883067846,-2132.674825044349,-318.7382632624358,-0.02057116395871562
