X,channels,observable,metric,actual,null_mean,null_sd,null_exceed_fraction
262144,72,r0,profile_max_abs_z,2.3429193541,,,0.30
262144,72,r0,profile_mean_z2,2.1476924480,,,0.20
262144,72,r1,profile_max_abs_z,2.7704945564,,,0.45
262144,72,r1,profile_mean_z2,1.2377827834,,,0.45
262144,72,coherence,profile_max_abs_z,2.8742010093,,,0.40
262144,72,coherence,profile_mean_z2,1.2975260351,,,0.35
262144,72,residual,profile_max_abs_z,2.4560105466,,,0.65
262144,72,residual,profile_mean_z2,1.2133013319,,,0.45
262144,72,dissipation,profile_max_abs_z,2.9616211074,,,0.35
262144,72,dissipation,profile_mean_z2,1.3690781032,,,0.35
262144,72,dissipation,mean,0.000129511680367,0.000130621590939,0.000002542878280,0.65
262144,72,coherence,rms,0.081837033779,0.081797860128,0.000832870000,0.55
262144,72,residual,rms,0.126521227790,0.125881412549,0.002655136317,0.50
1048576,147,r0,profile_max_abs_z,2.6423766311,,,0.20
1048576,147,r0,profile_mean_z2,3.4642464811,,,0.05
1048576,147,r1,profile_max_abs_z,2.9349395098,,,0.65
1048576,147,r1,profile_mean_z2,1.7921394847,,,0.05
1048576,147,coherence,profile_max_abs_z,2.8242553735,,,0.65
1048576,147,coherence,profile_mean_z2,1.7133126500,,,0.15
1048576,147,residual,profile_max_abs_z,3.1238960032,,,0.50
1048576,147,residual,profile_mean_z2,1.8970406513,,,0.05
1048576,147,dissipation,profile_max_abs_z,2.9674434558,,,0.70
1048576,147,dissipation,profile_mean_z2,1.6474047925,,,0.15
1048576,147,dissipation,mean,0.000052686852102,0.000051590028432,0.000000781459461,0.05
1048576,147,coherence,rms,0.073204130556,0.072142245023,0.000545674991,0.00
1048576,147,residual,rms,0.108123645918,0.108694931477,0.001475718907,0.55
