prime_index,p,new_channel_at,first_composite_use,within_2_100,basis_dimension_after_appearance
1,2,2,4,yes,1
2,3,3,6,yes,2
3,5,5,10,yes,3
4,7,7,14,yes,4
5,11,11,22,yes,5
6,13,13,26,yes,6
7,17,17,34,yes,7
8,19,19,38,yes,8
9,23,23,46,yes,9
10,29,29,58,yes,10
11,31,31,62,yes,11
12,37,37,74,yes,12
13,41,41,82,yes,13
14,43,43,86,yes,14
15,47,47,94,yes,15
16,53,53,106,no,16
17,59,59,118,no,17
18,61,61,122,no,18
19,67,67,134,no,19
20,71,71,142,no,20
21,73,73,146,no,21
22,79,79,158,no,22
23,83,83,166,no,23
24,89,89,178,no,24
25,97,97,194,no,25
