X,r,C_signed,N_offdiag,rho_prime,rho_null_mean,rho_null_sd,z,null_samples
65536,0,-17274,1231649338,-1.40250958345e-05,-1.98658309711e-05,7.0602888401e-06,0.827265749159,20
65536,1,74540,324813648,0.000229485430982,0.000272646874572,4.58794767998e-05,-0.940757101026,20
65536,2,-123882,29769698,-0.00416134554002,-0.00448465639492,0.000287155378072,1.12590910564,20
65536,3,17660,1246212,0.0141709436276,0.0167483581661,0.00219183971947,-1.17591378402,20
65536,4,9362,25482,0.367396593674,0.362322879394,0.00509005319435,0.996790030701,20
65536,5,-54,114,-0.473684210526,-0.473684210526,0,,20
131072,0,-40534,4926763734,-8.22730745545e-06,-1.09473522525e-05,2.86732795044e-06,0.948634004918,12
131072,1,146212,1299172060,0.000112542444917,0.000136523951379,1.76018892974e-05,-1.36243934143,12
131072,2,-204236,119052988,-0.0017155050321,-0.00192048520278,0.000183692813234,1.11588563033,12
131072,3,-11720,5000944,-0.00234355753634,-0.000525793830223,0.00194775942639,-0.933258841663,12
131072,4,31030,107106,0.289712994603,0.285152840617,0.00406468529098,1.12189595494,12
131072,5,-40,824,-0.0485436893204,-0.0485436893204,1.44948766286e-17,,12
262144,0,-102828,19704198412,-5.21858326078e-06,-5.51728020053e-06,1.99025582321e-06,0.150079671301,8
262144,1,292208,5195138172,5.62464347098e-05,5.65769981453e-05,1.53188064619e-05,-0.0215789288987,8
262144,2,-311146,475681986,-0.000654105072627,-0.000645602890133,0.000147707879122,-0.0575607919148,8
262144,3,-122186,19989794,-0.0061124191675,-0.00609228681074,0.00128969044027,-0.0156102240747,8
262144,4,84120,437540,0.192256707958,0.196404079474,0.00599489318005,-0.691817417211,8
262144,5,1048,4336,0.241697416974,0.229350862946,0.00830250291248,1.48708818995,8
