N,sigma_max_W,sigma_min_W,cond2_W,norm2_inverse,max_inverse_row_l1,inverse_product_error
16,21.75373524176924,0.19393470980197697,112.17040654548926,5.156374539766919,5,0.0
32,58.915941037276006,0.10585608276186124,556.5664201821642,9.446788261092623,10,0.0
64,162.88160893718162,0.061644085879262,2642.2909288687733,16.222156363201343,15,0.0
128,455.42676732086085,0.03185659797993208,14296.152012457667,31.390671427939214,22,0.0
256,1280.6656287403023,0.01447545911177323,88471.5033113324,69.082437543323,41,0.0
512,3611.7295698000803,0.007602462983300005,475073.6146606445,131.53631950548868,63,0.0
