freeze_below,samples,mean_sign_changes_2pow10_to_24,sd_sign_changes,max_sign_changes,add_one_empirical_p_ge_actual_13,mean_lag1_corr,sd_lag1_corr,add_one_empirical_p_le_actual_corr_minus0.853
10,80,3.675000,2.162833,10,0.012346,0.241177,0.273371,0.012346
100,150,4.506667,2.071691,9,0.006623,0.219998,0.269832,0.006623
1000,80,6.850000,1.638925,10,0.012346,-0.184340,0.179174,0.012346
10000,80,7.337500,1.475056,12,0.012346,-0.216651,0.131078,0.012346
