L,tau,mobius_ratio,musquared_ratio,random_mean,random_std
1024,1.5,0.8896148957,0.2540382478,0.9013369238,0.1651232333
1024,2.5,0.9728631136,0.1760394161,1.0127724982,0.1816088987
1024,3.5,0.9510691896,0.1857304422,0.8423671448,0.1119826788
2048,1.5,0.6924386295,0.1617696618,1.0714039426,0.1120403149
2048,2.5,1.2853989549,0.1354975378,0.9930881101,0.1805769501
2048,3.5,1.0964545818,0.1896129595,0.9486601075,0.1961404708
4096,1.5,1.2025249475,0.1388871421,1.0534183713,0.1003527074
4096,2.5,0.9418162959,0.1151040776,0.9479994193,0.1610234772
4096,3.5,0.8920418009,0.1272842738,0.9575394727,0.2488266878
8192,1.5,1.0254776833,0.1138370819,0.9851497951,0.0881877145
8192,2.5,1.0615418030,0.0890994644,1.0395618095,0.0501485697
8192,3.5,1.2281877701,0.1092069647,1.0322772662,0.2506609975
16384,1.5,0.9046302888,0.1227195052,1.0807861698,0.0863364902
16384,2.5,1.0794619200,0.0808245509,0.9331550695,0.0612106628
16384,3.5,0.7914773153,0.0743582541,0.9915461466,0.1656956351
