rank,sample_count,ols_log2_absdet_slope,beta_eff_full,late_half_beta_eff,first100_zero_wave_corr,first100_zero_wave_R2
2,64,1.002489077442591,0.5012445387212955,0.4648977119767238,0.9328111855656882,0.8697692617214898
3,62,1.5008162729533934,0.5002720909844645,0.4729148994974057,0.9590134865662633,0.9113492210385432
4,60,2.006102790734427,0.5015256976836068,0.4751012424542434,0.9541119754314786,0.8706321971136874
5,58,2.5408528999333972,0.5081705799866795,0.4690097095769106,0.9644645527680682,0.8932908199766767
6,56,3.0302127825227756,0.5050354637537959,0.4673998771835739,0.9139917300459782,0.7757319796635196
7,54,3.5117177349920605,0.5016739621417229,0.4566115254305161,0.8933605281534149,0.6821848918261451
8,52,4.022113700217805,0.5027642125272256,0.4517922178434913,0.8994516892211945,0.5946207684356782
