s,n_s_splus1,M_s,lower_half_sum,l1_lower,l2_lower,max_abs_lower,nonzero_lower
4,20,-1,1,5,2.6457513110645907,2,4
8,72,-2,2,6,2.449489742783178,1,6
16,272,-1,1,29,9.0,4,12
32,1056,-4,4,86,26.90724809414742,18,26
64,4160,-1,1,341,98.42255838983256,53,53
128,16512,-2,2,958,263.71196408202644,136,102
256,65792,-1,1,3041,928.677015974876,745,203
512,262656,-4,4,12216,3729.582014113646,1974,423
1024,1049600,-4,4,39240,12048.378563109643,6887,832
2048,4196352,7,-7,139511,40855.7779145129,28236,1661
