X,C_X_1,nonzero_pair_count,conditional_mean,C_over_sqrt_support
1024,-10,332,-0.030120481927710843,-0.5488212999484517
2048,-9,659,-0.013657056145675266,-0.3505902242092289
4096,17,1323,0.012849584278155708,0.46737878934398275
8192,-9,2643,-0.00340522133938706,-0.1750628231649528
16384,2,5290,0.0003780718336483932,0.027498066610159824
32768,-64,10576,-0.006051437216338881,-0.6223278732675311
65536,-135,21149,-0.006383280533358552,-0.9283010675440401
131072,-336,42308,-0.007941760423560556,-1.6335334408319737
262144,-503,84579,-0.0059471027087102,-1.7295642984524255
524288,-91,169147,-0.0005379935795491495,-0.22126322726330422
1048576,605,338299,0.0017883588186781516,1.040171661457993
