P,c,deriv_low,deriv_high,integer_resonances,Lambda_over_sqrtP,integer_over_sqrtP
10000,0.5,0.088388,0.25,0,7.677438,0.025089
10000,1,0.176777,0.5,0,2.585603,0.006008
10000,2,0.353553,1,1,2.736425,0.407256
10000,3,0.530330,1.5,1,3.497600,0.929844
10000,4,0.707107,2,2,2.396571,1.315336
10000,6,1.060660,3,2,3.019499,0.692996
50000,0.5,0.088388,0.25,0,3.569299,0.010969
50000,1,0.176777,0.5,0,1.973654,0.003826
50000,2,0.353553,1,1,2.828403,0.412588
50000,3,0.530330,1.5,1,2.195301,0.935100
50000,4,0.707107,2,2,2.331137,1.210579
50000,6,1.060660,3,2,2.738591,0.767198
100000,0.5,0.088388,0.25,0,0.564653,0.006293
100000,1,0.176777,0.5,0,3.641283,0.004574
100000,2,0.353553,1,1,4.467711,0.408607
100000,3,0.530330,1.5,1,3.498860,0.934201
100000,4,0.707107,2,2,4.546726,0.951209
100000,6,1.060660,3,2,1.659810,0.473265
200000,0.5,0.088388,0.25,0,1.221691,0.005449
200000,1,0.176777,0.5,0,0.322934,0.002032
200000,2,0.353553,1,1,2.374610,0.410422
200000,3,0.530330,1.5,1,4.707141,0.934665
200000,4,0.707107,2,2,2.326772,0.859594
200000,6,1.060660,3,2,3.777351,0.804418
400000,0.5,0.088388,0.25,0,4.801369,0.003255
400000,1,0.176777,0.5,0,4.965220,0.002264
400000,2,0.353553,1,1,4.781332,0.408780
400000,3,0.530330,1.5,1,0.870372,0.935136
400000,4,0.707107,2,2,2.698813,1.047055
400000,6,1.060660,3,2,4.232779,0.588662
