k,K2,K2_over_X,abs_over_X
10,12,0.01171875,0.01171875
11,44,0.021484375,0.021484375
12,-27,-0.006591796875,0.006591796875
13,207,0.0252685546875,0.0252685546875
14,-124,-0.007568359375,0.007568359375
15,452,0.0137939453125,0.0137939453125
16,1124,0.01715087890625,0.01715087890625
17,716,0.005462646484375,0.005462646484375
18,64,0.000244140625,0.000244140625
19,-1924,-0.00366973876953125,0.00366973876953125
20,9457,0.00901889801025391,0.00901889801025391
21,20799,0.0099177360534668,0.0099177360534668
22,72448,0.01727294921875,0.01727294921875
23,48364,0.00576543807983398,0.00576543807983398
24,-48008,-0.00286149978637695,0.00286149978637695
25,34101,0.0010162889957428,0.0010162889957428
26,1016345,0.0151447206735611,0.0151447206735611
27,452101,0.00336841493844986,0.00336841493844986
28,669187,0.00249291583895683,0.00249291583895683
29,846949,0.00157756544649601,0.00157756544649601
30,21046362,0.0196009520441294,0.0196009520441294
31,48081558,0.0223897201940417,0.0223897201940417
32,110384197,0.0257008236367255,0.0257008236367255
33,102224487,0.011900030891411,0.011900030891411
34,113100615,0.00658339139726013,0.00658339139726013
35,98912706,0.00287899345822632,0.00287899345822632
36,201749321,0.00293590257922292,0.00293590257922292
37,1694582306,0.0123298864495017,0.0123298864495017
38,-687896380,-0.00250255157891661,0.00250255157891661
39,-2322537951,-0.00422470067406539,0.00422470067406539
40,14546020923,0.0132295289613467,0.0132295289613467
41,12401213889,0.00563936587005465,0.00563936587005465
42,17438169811,0.00396498731667627,0.00396498731667627
43,24700401874,0.00280811007713061,0.00280811007713061
44,-12807269258,-0.000728163914392469,0.000728163914392469
45,-223525276531,-0.00635311198734479,0.00635311198734479
46,1293768916141,0.0183859206426269,0.0183859206426269
47,12868813944239,0.0914380037892822,0.0914380037892822
48,11685164306849,0.0415144884704106,0.0415144884704106
49,11038066063105,0.0196084009403238,0.0196084009403238
50,9529783798625,0.00846414831434661,0.00846414831434661
51,-10026868451381,-0.00445260206694136,0.00445260206694136
52,20160195283772,0.00447646278353322,0.00447646278353322
53,273217686116860,0.0303332613714575,0.0303332613714575
54,819392238978476,0.0454851786350513,0.0454851786350513
55,1792421803938817,0.0497504761693694,0.0497504761693694
56,1173271896776474,0.0162821954138103,0.0162821954138103
57,3082943654370980,0.021392195835916,0.021392195835916
58,3061286040807100,0.0106207304951903,0.0106207304951903
59,4856167150846232,0.00842410715984036,0.00842410715984036
60,7177150128576508,0.00622519110136415,0.00622519110136415
61,21987090310713749,0.0095351942100797,0.0095351942100797
62,36676250872169744,0.00795279806890855,0.00795279806890855
63,-66469490914471895,-0.00720680824158179,0.00720680824158179
64,125300610778473949,0.00679280665944806,0.00679280665944806
65,256000430682039169,0.00693890439198009,0.00693890439198009
66,-384790211123800578,-0.00521490795269351,0.00521490795269351
67,2238797651803291829,0.015170514942417,0.015170514942417
68,3410762362302052338,0.011555641696181,0.011555641696181
69,908430558764362856,0.00153880370940168,0.00153880370940168
70,-6567996846245713293,-0.00556295973915315,0.00556295973915315
71,49641341976915924103,0.021024302428502,0.021024302428502
72,66049140107587052019,0.0139858936983946,0.0139858936983946
73,8776772044918602033,0.000929134769845153,0.000929134769845153
74,103133750542492399426,0.00545989264890806,0.00545989264890806
75,14046199012543875468,0.000371828557080769,0.000371828557080769
