zero_terms,corr_with_M_over_sqrtx_n10_75,sign_accuracy,sign_changes_predicted_of_65,R2
1,0.720575,0.757576,58,0.516691
2,0.796350,0.727273,57,0.631571
5,0.891194,0.818182,48,0.792156
10,0.927576,0.878788,50,0.859361
20,0.954559,0.863636,48,0.910293
30,0.963048,0.878788,48,0.925961
