V,d_count,target,j,w_count,abs_actual,abs_random,actual_over_target
10,7,1000,0,0,0,0,0
10,7,1000,1,435,72.58763029698072,96.426655478294,0.07258763029698072
10,7,1000,2,172,17.93828848877197,35.62543060778601,0.01793828848877197
10,7,1000,3,0,0,0,0
15,9,3375,0,3,7.619249931336338,3.1443157215010547,0.002257555535210767
15,9,3375,1,1532,59.789961992008216,37.54927146513512,0.01771554429392836
15,9,3375,2,515,123.46470045018928,44.63332990502723,0.036582133466722754
15,9,3375,3,0,0,0,0
20,13,8000,0,19,4.894769975134729,3.1332853583722566,0.000611846246891841
20,13,8000,1,3749,205.72733701255422,167.03136620964258,0.025715917126569277
20,13,8000,2,1095,90.34234558601773,88.80112864413546,0.011292793198252216
20,13,8000,3,0,0,0,0
25,15,15625,0,38,46.93424898807596,31.255688011292335,0.003003791935236861
25,15,15625,1,7182,403.2110591839757,167.77317183088152,0.025805507787774445
25,15,15625,2,2278,135.99037925966672,155.5436852417458,0.00870338427261867
25,15,15625,3,0,0,0,0
30,19,27000,0,71,19.820706044109887,10.93719033147193,0.0007341002238559218
30,19,27000,1,12231,317.724130939311,464.8471304633501,0.011767560405159668
30,19,27000,2,4114,120.47222456765718,251.22821554475127,0.0044619342432465625
30,19,27000,3,3,7.506842250167438,3.2453555205298303,0.00027803119445064583
