delta,k_min,k_max,delta_log_X,ols_effective_exponent
0.001,10,75,0.0519860385419959,0.5000294471595457
0.002,10,75,0.1039720770839918,0.5001176498246735
0.005,10,75,0.25993019270997947,0.5007293244945443
0.01,10,75,0.5198603854199589,0.5028363795005428
0.02,10,75,1.0397207708399179,0.5102780176885209
0.03,10,75,1.559581156259877,0.5202871080419105
0.05,10,75,2.599301927099795,0.5426386613678286
0.1,10,75,5.19860385419959,0.5972050987199806
