X,M,F_sqrt,prime_tail,Li_kernel,F_sqrt_minus_Li_kernel,tail_minus_Li_kernel,minus_X_over_log2X,through_second_moment,tail_minus_second_moment
1024,-4,-12,-8,-15.1045356717451,3.1045356717451007,7.104535671745101,-21.313218365497427,-31.01261347762179,23.01261347762179
2048,7,-24,-31,-29.87339366180917,5.873393661809171,-1.126606338190829,-35.2284601082602,-49.8030583233231,18.8030583233231
4096,-19,-57,-38,-58.48005322425445,1.4800532242544477,20.480053224254448,-59.20338434860397,-81.65568784889184,43.655687848891844
8192,22,-100,-122,-111.77732657827451,11.777326578274511,-10.222673421725489,-100.89097451123043,-136.2096640410415,14.209664041041492
16384,-32,-198,-166,-201.62158915667783,3.621589156677828,35.62158915667783,-173.98545604487697,-230.54169576571874,64.54169576571874
32768,26,-330,-356,-356.8238310144151,26.823831014415077,0.8238310144150773,-303.1213278648523,-395.0859630020314,39.085963002031406
65536,14,-618,-632,-642.4152699735974,24.415269973597447,10.415269973597447,-532.8304591374356,-684.3835077643787,52.38350776437869
131072,-20,-1147,-1127,-1165.9740025082572,18.974002508257172,38.97400250825717,-943.9764535583635,-1196.6779749000932,69.6779749000932
262144,24,-2074,-2098,-2126.9666969389564,52.966696938956375,28.966696938956375,-1684.007377026957,-2109.7695767361197,11.769576736119689
524288,-125,-3772,-3647,-3801.0040634261636,29.00406342616361,154.0040634261636,-3022.8165659652855,-3746.8419774549593,99.8419774549593
1048576,257,-6605,-6862,-6746.199523380452,141.19952338045186,-115.80047661954814,-5456.183901567341,-6697.70647591926,-164.2935240807401
