n,gram_point,Z_at_gram_point
126,282.45472082346217461083979406905994,-0.02762949885719993669875120344077657
134,295.58390697422817609258791520435684,-0.01690039090339079218930855204964794
195,391.44820208610620289021419300312663,0.02328941664355123963491546980119676
211,415.60145997369405156355482390287266,0.38288957164454789637218438997842297
232,446.80575591920153470723246047838794,-0.14104326158805354220944192387192338
254,478.95682932137979951914190916191451,-0.06007795229651219187417372218878798
288,527.69734157659155037145318348624496,-0.66545881605404208403413786210976371
