n,re,gamma,gap_to_next,normalized_gap_local,abs_zeta_at_zero
1,0.5,14.13472514173469379045725198356247,6.887314497036861202171228,0.8887119300032525488943398,5.2844441e-81
2,0.5,21.022039638771554992628479593896903,3.988817941374133770585311,0.7666927785852901265313137,1.6648115e-80
3,0.5,25.010857580145688763213790992562822,5.414018545713824447098107,1.190336324558558071450748,7.8119666e-81
4,0.5,30.424876125859513210311897530584091,2.510185461879676480350471,0.6301779970562027144472808,1.6191856e-80
5,0.5,32.935061587739189690662368964074903,4.651116571086481566555395,1.226340108890418107170087,3.2068502e-80
6,0.5,37.586178158825671257217763480705333,3.332540853321823930180363,0.9487406785012496314557965,5.4542765e-80
7,0.5,40.918719012147495187398126914633254,2.408354268767504332097995,0.7181960467285869688252237,3.9229039e-80
8,0.5,43.327073280914999519496122165406806,4.678077600252160208446351,1.437631154802699885943803,1.7181576e-80
9,0.5,48.005150881167159727942472749427516,1.768681596505142453974312,0.5723995476212536345213521,4.9275967e-80
10,0.5,49.773832477672302181916784678563724,3.196489000042158462230512,1.052888418061167088936702,8.2089091e-81
11,0.5,52.97032147771446064414729660888099,3.475926219348934160220463,1.179365138618711575078977,5.4942353e-80
12,0.5,56.446247697063394804367759476706128,2.900796305538958275285889,1.013569071140367523490949,5.7745799e-80
13,0.5,59.347044002602353079653648674992219,1.484734522007456764606253,0.5306239895186089439477876,3.4272767e-80
14,0.5,60.831778524609809844259901824524004,4.280765523471796816615152,1.546722617953258360677015,3.3598756e-80
15,0.5,65.112544048081606660875054253183705,1.967266481412567053603775,0.7321034242832243764810313,6.0562269e-80
16,0.5,67.079810529494173714478828896522217,2.466591181679805538448029,0.9296085577079276770751659,1.1643053e-81
17,0.5,69.546401711173979252926857526554738,2.52075596330792832959525,0.9645096006376619909458031,1.3437076e-79
18,0.5,72.067157674481907582522107969826168,3.637533024602025585804809,1.412431210626229590245781,1.4746105e-79
19,0.5,75.704690699083933168326916762030346,1.440149369790872204355748,0.570487483961672415565067,5.8382008e-80
20,0.5,77.144840068874805372682664856304637,2.192534951374562550080928,0.8751064321180807000859898,2.1686247e-80
21,0.5,79.337375020249367922763592877116228,3.573005833836662260401245,1.442030280202936200554547,3.2221747e-80
22,0.5,82.910380854086030183164837494770609,1.825112126431019922570474,0.7493931660228930136842472,2.8897424e-80
23,0.5,84.735492980517050105735311206827741,2.689781632608179300796357,1.113748869612276121549698,1.3429885e-79
24,0.5,87.425274613125229406531667850919213,1.38383659450923601715068,0.5798831919414717016219351,1.2052085e-79
25,0.5,88.809111207634465423682348079509378,3.682788062924018872577377,1.552441452919419267343262,6.5139556e-80
26,0.5,92.491899270558484296259725241810685,2.159444769961402670338201,0.9242563452278863665292927,1.6610944e-79
27,0.5,94.651344040519886966597925815208154,1.219290187725422792143103,0.5263427182050111224099118,4.7389577e-80
28,0.5,95.870634228245309758741029219246782,2.960559989948382474583391,1.284044431144090771654699,4.321767e-81
29,0.5,98.831194218193692233324420138622328,2.486656787537698995461028,1.090541263459122693530673,9.4921199e-80
30,0.5,101.31785100573139122878544794029231,2.40768703474694818761296,1.065430654916320882147444,1.4636109e-79
31,0.5,103.72553804047833941639840810869528,1.721085011847755077272424,0.768034143709655288562786,1.2528401e-80
32,0.5,105.44662305232609449367083241411181,1.72198813195031302145252,0.7729472854383149880156507,6.9126275e-80
33,0.5,107.16861118427640751512335196308619,3.860924358893267009533098,1.743003441600400884702201,5.2453267e-80
34,0.5,111.02953554316967452465645030994435,0.8451236338229625609556284,0.3862892242423267177363245,1.7469894e-80
35,0.5,111.87465917699263708561207871677059,2.445561738460075680278859,1.1207691208470139821645,5.0210661e-80
36,0.5,114.32022091545271276589093727619108,1.906459405404841616269867,0.8802668456306217471609155,4.6589411e-80
37,0.5,116.22668032085755438216080431206476,2.564102545118662940818335,1.190668873493357086044258,1.7009229e-79
38,0.5,118.79078286597621732297913970269982,2.579342136444428595966393,1.206703553820333000724896,1.095092e-79
39,0.5,121.37012500242064591894553297049992,1.576704291131942281871927,0.7430260674792461733666155,8.5859843e-80
40,0.5,122.94682929355258820081746033077002,1.309989260793178983914548,0.6200269463580548825451871,1.7052431e-80
41,0.5,124.25681855434576718473200796612992,3.259865325250727939547316,1.54841551201622147754714,1.5778375e-80
42,0.5,127.51668387959649512427932376690608,2.06202032035955586148871,0.9879454614819745680815523,7.6613806e-80
43,0.5,129.57870419995605098576803390617997,1.508984330976605737798339,0.7268299652367604835692307,9.7197425e-80
44,0.5,131.08768853093265672356637246150135,2.41004867206492972656412,1.165285120153596686401951,6.6620612e-81
45,0.5,133.49773720299758645013049204264061,1.258772550376284881195572,0.6122802165951922698011141,1.2058714e-79
46,0.5,134.75650975337387133132606415716974,3.359532301159571868865491,1.639129893742752312212132,3.2818161e-79
47,0.5,138.11604205453344320019155519028245,1.620166897587945750258491,0.7968358862238043381009962,4.194291e-79
48,0.5,139.73620895212138895045004652338246,1.387498451899734811490307,0.6849794483969016914663842,3.879321e-80
49,0.5,141.12370740402112376194035381847536,1.98813840359950897746477,0.9846294279603781463014065,2.9555316e-80
50,0.5,143.11184580762063273940512386891393,,,1.6433996e-79
